Ont	Terms	Annotated	Significant	Expected	classic	Genes
BP	GO:0006378:MRNA polyadenylation	20	12	0.22	1.0e-19	CFT1,CFT2,FIP1,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,RNA14,YSH1,YTH1
BP	GO:0006397:MRNA processing	216	24	2.36	4.5e-19	CFT1,CFT2,DCP1,FIP1,GLC7,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,SPT20,YSH1,YTH1
BP	GO:0044260:Cellular macromolecule metabolic process	2698	58	29.48	6.6e-18	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0043631:RNA polyadenylation	26	12	0.28	7.5e-18	CFT1,CFT2,FIP1,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,RNA14,YSH1,YTH1
BP	GO:0031145:Anaphase-promoting complex-dependent catabolic process	14	10	0.15	1.0e-17	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1
BP	GO:0044265:Cellular macromolecule catabolic process	390	28	4.26	2.6e-17	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DCP1,DOC1,LSM1,LSM4,LSM5,LSM7,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0098787:MRNA cleavage involved in mRNA processing	15	10	0.16	3.1e-17	CFT1,CFT2,FIP1,MPE1,PFS2,PTA1,PTI1,RNA14,YSH1,YTH1
BP	GO:0098789:Pre-mRNA cleavage required for polyadenylation	15	10	0.16	3.1e-17	CFT1,CFT2,FIP1,MPE1,PFS2,PTA1,PTI1,RNA14,YSH1,YTH1
BP	GO:0043170:Macromolecule metabolic process	2808	58	30.68	6.9e-17	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0006511:Ubiquitin-dependent protein catabolic process	220	22	2.4	2.0e-16	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0019941:Modification-dependent protein catabolic process	221	22	2.41	2.3e-16	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0009057:Macromolecule catabolic process	427	28	4.67	2.9e-16	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DCP1,DOC1,LSM1,LSM4,LSM5,LSM7,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0006379:MRNA cleavage	18	10	0.2	4.4e-16	CFT1,CFT2,FIP1,MPE1,PFS2,PTA1,PTI1,RNA14,YSH1,YTH1
BP	GO:0043161:Proteasome-mediated ubiquitin-dependent protein catabolic process	156	19	1.7	9.3e-16	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN2,RPN5,RPN8,RPT1,RPT3,RPT6
BP	GO:0051603:Proteolysis involved in cellular protein catabolic process	239	22	2.61	1.2e-15	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0010498:Proteasomal protein catabolic process	159	19	1.74	1.3e-15	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN2,RPN5,RPN8,RPT1,RPT3,RPT6
BP	GO:0043632:Modification-dependent macromolecule catabolic process	243	22	2.66	1.7e-15	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0016071:MRNA metabolic process	316	24	3.45	3.4e-15	CFT1,CFT2,DCP1,FIP1,GLC7,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,SPT20,YSH1,YTH1
BP	GO:0044257:Cellular protein catabolic process	256	22	2.8	5.3e-15	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0031124:MRNA 3'-end processing	41	12	0.45	5.4e-15	CFT1,CFT2,FIP1,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,RNA14,YSH1,YTH1
BP	GO:0030163:Protein catabolic process	274	22	2.99	2.2e-14	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0006508:Proteolysis	346	24	3.78	2.7e-14	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DOC1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF73
BP	GO:0044248:Cellular catabolic process	611	28	6.68	2.9e-12	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DCP1,DOC1,LSM1,LSM4,LSM5,LSM7,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0016573:Histone acetylation	52	11	0.57	4.2e-12	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0006475:Internal protein amino acid acetylation	53	11	0.58	5.3e-12	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0018393:Internal peptidyl-lysine acetylation	53	11	0.58	5.3e-12	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0018394:Peptidyl-lysine acetylation	53	11	0.58	5.3e-12	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0044238:Primary metabolic process	3422	58	37.39	7.4e-12	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0031123:RNA 3'-end processing	73	12	0.8	9.7e-12	CFT1,CFT2,FIP1,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,RNA14,YSH1,YTH1
BP	GO:0006473:Protein acetylation	61	11	0.67	2.7e-11	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0044237:Cellular metabolic process	3526	58	38.53	4.2e-11	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:1901575:Organic substance catabolic process	693	28	7.57	6.4e-11	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DCP1,DOC1,LSM1,LSM4,LSM5,LSM7,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0009056:Catabolic process	700	28	7.65	8.2e-11	APC1,APC11,APC2,APC4,APC5,CDC16,CDC23,CDC26,CDC27,DCP1,DOC1,LSM1,LSM4,LSM5,LSM7,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
BP	GO:0070647:Protein modification by small protein conjugation or removal	193	16	2.11	1.0e-10	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,MPE1,RPN11,RPN5,SGF11,SGF73
BP	GO:0043543:Protein acylation	70	11	0.76	1.3e-10	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0071704:Organic substance metabolic process	3604	58	39.38	1.5e-10	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0044267:Cellular protein metabolic process	1377	38	15.05	2.3e-10	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GCN5,GLC7,HFI1,MPE1,NGG1,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0016570:Histone modification	124	13	1.35	4.2e-10	ADA2,GCN5,GLC7,HFI1,NGG1,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0008152:Metabolic process	3713	58	40.57	8.7e-10	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0019538:Protein metabolic process	1438	38	15.71	9.1e-10	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GCN5,GLC7,HFI1,MPE1,NGG1,PAT1,RPN1,RPN10,RPN11,RPN13,RPN2,RPN3,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0016070:RNA metabolic process	1450	38	15.84	1.2e-09	ADA2,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0006325:Chromatin organization	342	19	3.74	1.3e-09	ADA2,APC5,APC9,CDC26,DOC1,GCN5,GLC7,HFI1,NGG1,PAT1,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0006464:Cellular protein modification process	741	27	8.1	1.9e-09	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GCN5,GLC7,HFI1,MPE1,NGG1,RPN11,RPN5,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0036211:Protein modification process	741	27	8.1	1.9e-09	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GCN5,GLC7,HFI1,MPE1,NGG1,RPN11,RPN5,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0016567:Protein ubiquitination	130	12	1.42	9.6e-09	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,MPE1
BP	GO:0006396:RNA processing	641	24	7	1.4e-08	CFT1,CFT2,DCP1,FIP1,GLC7,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,SPT20,YSH1,YTH1
BP	GO:0090304:Nucleic acid metabolic process	1696	39	18.53	3.2e-08	ADA2,CDC16,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0018205:Peptidyl-lysine modification	116	11	1.27	3.2e-08	ADA2,GCN5,HFI1,NGG1,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0016569:Chromatin modification	179	13	1.96	4.0e-08	ADA2,GCN5,GLC7,HFI1,NGG1,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0043248:Proteasome assembly	34	7	0.37	5.5e-08	RPN10,RPN11,RPN2,RPN6,RPT1,RPT3,RPT6
BP	GO:0032446:Protein modification by small protein conjugation	155	12	1.69	7.0e-08	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,MPE1
BP	GO:0043933:Macromolecular complex subunit organization	914	27	9.99	1.9e-07	ADA2,APC5,APC9,CDC26,DOC1,GCN5,GLC7,HFI1,LSM3,LSM4,NGG1,PAT1,RPN10,RPN11,RPN2,RPN6,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0090501:RNA phosphodiester bond hydrolysis	109	10	1.19	2.0e-07	CFT1,CFT2,FIP1,MPE1,PFS2,PTA1,PTI1,RNA14,YSH1,YTH1
BP	GO:0006369:Termination of RNA polymerase II transcription	27	6	0.3	3.2e-07	CFT1,GLC7,PTA1,PTI1,REF2,YSH1
BP	GO:0090305:Nucleic acid phosphodiester bond hydrolysis	145	11	1.58	3.3e-07	CFT1,CFT2,DCP1,FIP1,MPE1,PFS2,PTA1,PTI1,RNA14,YSH1,YTH1
BP	GO:0043412:Macromolecule modification	961	27	10.5	5.4e-07	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1,GCN5,GLC7,HFI1,MPE1,NGG1,RPN11,RPN5,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1
BP	GO:0010467:Gene expression	1816	38	19.84	1.0e-06	ADA2,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0007091:Metaphase/anaphase transition of mitotic cell cycle	53	7	0.58	1.3e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0044784:Metaphase/anaphase transition of cell cycle	53	7	0.58	1.3e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0010965:Regulation of mitotic sister chromatid separation	54	7	0.59	1.5e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0051306:Mitotic sister chromatid separation	54	7	0.59	1.5e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0006139:Nucleobase-containing compound metabolic process	1934	39	21.13	1.6e-06	ADA2,CDC16,CFT1,CFT2,DCP1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
BP	GO:0033047:Regulation of mitotic sister chromatid segregation	57	7	0.62	2.2e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
BP	GO:0006366:Transcription from RNA polymerase II promoter	490	18	5.35	2.4e-06	ADA2,CFT1,GCN5,GLC7,HFI1,PTA1,PTI1,REF2,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT3,SPT8,TRA1,YSH1
BP	GO:0030846:Termination of RNA polymerase II transcription, poly(A)-coupled	10	4	0.11	2.6e-06	GLC7,PTA1,PTI1,REF2
BP	GO:0033045:Regulation of sister chromatid segregation	60	7	0.66	3.2e-06	APC1,APC11,APC2,APC4,CDC23,CDC26,GLC7
